"subject" "lable" "Variable" "value" "dimension" "average"
"1" 1 "WALKING" "tBodyAcc" "mean" "X" 0.277330758736842
"2" 1 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.255461689622641
"3" 1 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.289188320408163
"4" 1 "SITTING" "tBodyAcc" "mean" "X" 0.261237565425532
"5" 1 "STANDING" "tBodyAcc" "mean" "X" 0.278917629056604
"6" 1 "LAYING" "tBodyAcc" "mean" "X" 0.22159824394
"7" 2 "WALKING" "tBodyAcc" "mean" "X" 0.276426586440678
"8" 2 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.247164790395833
"9" 2 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.27761534806383
"10" 2 "SITTING" "tBodyAcc" "mean" "X" 0.27708735173913
"11" 2 "STANDING" "tBodyAcc" "mean" "X" 0.277911472222222
"12" 2 "LAYING" "tBodyAcc" "mean" "X" 0.281373403958333
"13" 3 "WALKING" "tBodyAcc" "mean" "X" 0.275567462068966
"14" 3 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.260819873067797
"15" 3 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.292423484693878
"16" 3 "SITTING" "tBodyAcc" "mean" "X" 0.257197599134615
"17" 3 "STANDING" "tBodyAcc" "mean" "X" 0.280046513278689
"18" 3 "LAYING" "tBodyAcc" "mean" "X" 0.275516852741935
"19" 4 "WALKING" "tBodyAcc" "mean" "X" 0.278582015166667
"20" 4 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.270876696730769
"21" 4 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.279965329555556
"22" 4 "SITTING" "tBodyAcc" "mean" "X" 0.27153827992
"23" 4 "STANDING" "tBodyAcc" "mean" "X" 0.280499745892857
"24" 4 "LAYING" "tBodyAcc" "mean" "X" 0.263559214981481
"25" 5 "WALKING" "tBodyAcc" "mean" "X" 0.27784234625
"26" 5 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.268459469914894
"27" 5 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.29354392712766
"28" 5 "SITTING" "tBodyAcc" "mean" "X" 0.273694139545455
"29" 5 "STANDING" "tBodyAcc" "mean" "X" 0.282544390892857
"30" 5 "LAYING" "tBodyAcc" "mean" "X" 0.278334325576923
"31" 6 "WALKING" "tBodyAcc" "mean" "X" 0.283658868070175
"32" 6 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.268229355098039
"33" 6 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.277045258145833
"34" 6 "SITTING" "tBodyAcc" "mean" "X" 0.276778487454545
"35" 6 "STANDING" "tBodyAcc" "mean" "X" 0.280346248596491
"36" 6 "LAYING" "tBodyAcc" "mean" "X" 0.248656520140351
"37" 7 "WALKING" "tBodyAcc" "mean" "X" 0.275592961754386
"38" 7 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.248706923078431
"39" 7 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.28030708
"40" 7 "SITTING" "tBodyAcc" "mean" "X" 0.284674637291667
"41" 7 "STANDING" "tBodyAcc" "mean" "X" 0.282723539433962
"42" 7 "LAYING" "tBodyAcc" "mean" "X" 0.250176694038462
"43" 8 "WALKING" "tBodyAcc" "mean" "X" 0.27468631
"44" 8 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.258880152048781
"45" 8 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.283484089210526
"46" 8 "SITTING" "tBodyAcc" "mean" "X" 0.267491472934783
"47" 8 "STANDING" "tBodyAcc" "mean" "X" 0.279620986111111
"48" 8 "LAYING" "tBodyAcc" "mean" "X" 0.261254282907407
"49" 9 "WALKING" "tBodyAcc" "mean" "X" 0.278502842115385
"50" 9 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.262436475714286
"51" 9 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.295923445
"52" 9 "SITTING" "tBodyAcc" "mean" "X" 0.24832674354
"53" 9 "STANDING" "tBodyAcc" "mean" "X" 0.282310057333333
"54" 9 "LAYING" "tBodyAcc" "mean" "X" 0.2591955368
"55" 10 "WALKING" "tBodyAcc" "mean" "X" 0.278574076603774
"56" 10 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.267121853404255
"57" 10 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.290401594315789
"58" 10 "SITTING" "tBodyAcc" "mean" "X" 0.270612056481481
"59" 10 "STANDING" "tBodyAcc" "mean" "X" 0.276650300681818
"60" 10 "LAYING" "tBodyAcc" "mean" "X" 0.280230574137931
"61" 11 "WALKING" "tBodyAcc" "mean" "X" 0.271821892881356
"62" 11 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.263775859277778
"63" 11 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.291605631956522
"64" 11 "SITTING" "tBodyAcc" "mean" "X" 0.276590197358491
"65" 11 "STANDING" "tBodyAcc" "mean" "X" 0.277715562765957
"66" 11 "LAYING" "tBodyAcc" "mean" "X" 0.280592970877193
"67" 12 "WALKING" "tBodyAcc" "mean" "X" 0.2771286656
"68" 12 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.272970338653846
"69" 12 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.281521097391304
"70" 12 "SITTING" "tBodyAcc" "mean" "X" 0.275007224901961
"71" 12 "STANDING" "tBodyAcc" "mean" "X" 0.277405834918033
"72" 12 "LAYING" "tBodyAcc" "mean" "X" 0.260113433
"73" 13 "WALKING" "tBodyAcc" "mean" "X" 0.275883130350877
"74" 13 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.258203939581818
"75" 13 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.294907553404255
"76" 13 "SITTING" "tBodyAcc" "mean" "X" 0.274328499591837
"77" 13 "STANDING" "tBodyAcc" "mean" "X" 0.277758431052632
"78" 13 "LAYING" "tBodyAcc" "mean" "X" 0.276716360483871
"79" 14 "WALKING" "tBodyAcc" "mean" "X" 0.271959598644068
"80" 14 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.26242106612963
"81" 14 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.293422115555556
"82" 14 "SITTING" "tBodyAcc" "mean" "X" 0.279990577037037
"83" 14 "STANDING" "tBodyAcc" "mean" "X" 0.280545613833333
"84" 14 "LAYING" "tBodyAcc" "mean" "X" 0.233275439803922
"85" 15 "WALKING" "tBodyAcc" "mean" "X" 0.273899207962963
"86" 15 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.270187595833333
"87" 15 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.280198851190476
"88" 15 "SITTING" "tBodyAcc" "mean" "X" 0.27290337979661
"89" 15 "STANDING" "tBodyAcc" "mean" "X" 0.278915803962264
"90" 15 "LAYING" "tBodyAcc" "mean" "X" 0.2894756525
"91" 16 "WALKING" "tBodyAcc" "mean" "X" 0.276023564509804
"92" 16 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.255986102627451
"93" 16 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.295586802191489
"94" 16 "SITTING" "tBodyAcc" "mean" "X" 0.280768574492754
"95" 16 "STANDING" "tBodyAcc" "mean" "X" 0.283497402948718
"96" 16 "LAYING" "tBodyAcc" "mean" "X" 0.274227162571429
"97" 17 "WALKING" "tBodyAcc" "mean" "X" 0.272341855245902
"98" 17 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.252604768583333
"99" 17 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.29391828326087
"100" 17 "SITTING" "tBodyAcc" "mean" "X" 0.2773570196875
"101" 17 "STANDING" "tBodyAcc" "mean" "X" 0.277942503333333
"102" 17 "LAYING" "tBodyAcc" "mean" "X" 0.269780085577465
"103" 18 "WALKING" "tBodyAcc" "mean" "X" 0.273887758571429
"104" 18 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.265401201896552
"105" 18 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.288439468909091
"106" 18 "SITTING" "tBodyAcc" "mean" "X" 0.27727001877193
"107" 18 "STANDING" "tBodyAcc" "mean" "X" 0.278458805890411
"108" 18 "LAYING" "tBodyAcc" "mean" "X" 0.274691576923077
"109" 19 "WALKING" "tBodyAcc" "mean" "X" 0.273931172307692
"110" 19 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.242118808925
"111" 19 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.262688053871795
"112" 19 "SITTING" "tBodyAcc" "mean" "X" 0.273830316164384
"113" 19 "STANDING" "tBodyAcc" "mean" "X" 0.27817226
"114" 19 "LAYING" "tBodyAcc" "mean" "X" 0.272653733493976
"115" 20 "WALKING" "tBodyAcc" "mean" "X" 0.272589336470588
